12:19, nedjelja, prosinac 01, 2024
Study name:Thermal 1
Units: Celsius
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,TEMP (Celsius)
854  ,9.1589  ,19.8572  ,39.4584  ,2.61993e+01
7225  ,16.5089  ,19.8572  ,31.7215  ,2.61972e+01
7211  ,16.5089  ,19.8572  ,36.1426  ,2.61971e+01
6156  ,6.0089  ,19.8572  ,31.7215  ,2.61970e+01
6141  ,6.0089  ,19.8572  ,36.1426  ,2.61970e+01
7234  ,15.4589  ,19.8572  ,29.511  ,2.61943e+01
7206  ,15.4589  ,19.8572  ,38.3531  ,2.61943e+01
6173  ,7.0589  ,19.8572  ,29.511  ,2.61942e+01
6142  ,7.0589  ,19.8572  ,38.3531  ,2.61942e+01
7226  ,16.5089  ,19.8572  ,30.6162  ,2.61919e+01
7205  ,16.5089  ,19.8572  ,37.2478  ,2.61919e+01
6163  ,6.0089  ,19.8572  ,30.6163  ,2.61918e+01
7473  ,10.4646  ,20.6478  ,34.6214  ,2.61918e+01
7482  ,10.4646  ,20.6478  ,33.5161  ,2.61918e+01
6140  ,6.0089  ,19.8572  ,37.2478  ,2.61918e+01
7355  ,14.4089  ,19.8572  ,28.4057  ,2.61916e+01
7320  ,14.4089  ,19.8572  ,39.4584  ,2.61916e+01
6286  ,8.1089  ,19.8572  ,28.4057  ,2.61916e+01
6257  ,8.1089  ,19.8572  ,39.4584  ,2.61915e+01
725  ,17.5589  ,19.8572  ,32.8268  ,2.61896e+01
726  ,17.5589  ,19.8572  ,35.0373  ,2.61896e+01
7094  ,17.5589  ,19.8572  ,33.932  ,2.61896e+01
888  ,4.9589  ,19.8572  ,35.0373  ,2.61895e+01
887  ,4.9589  ,19.8572  ,32.8268  ,2.61895e+01
6027  ,4.9589  ,19.8572  ,33.932  ,2.61895e+01
7474  ,11.4339  ,20.6652  ,35.682  ,2.61893e+01
6274  ,9.41456  ,20.6478  ,33.5161  ,2.61892e+01
6267  ,9.41456  ,20.6478  ,34.6214  ,2.61891e+01
7516  ,11.2589  ,19.8572  ,27.3005  ,2.61891e+01
7462  ,11.2589  ,19.8572  ,40.5636  ,2.61890e+01
7330  ,12.4839  ,20.6652  ,35.682  ,2.61867e+01
6269  ,10.3839  ,20.6652  ,35.682  ,2.61867e+01
7514  ,12.3089  ,19.8572  ,27.3005  ,2.61865e+01
7450  ,10.2089  ,19.8572  ,40.5636  ,2.61864e+01
7504  ,10.2089  ,19.8572  ,27.3005  ,2.61864e+01
7460  ,12.3089  ,19.8572  ,40.5636  ,2.61864e+01
7101  ,17.5589  ,19.8572  ,31.7215  ,2.61844e+01
7086  ,17.5589  ,19.8572  ,36.1426  ,2.61843e+01
6035  ,4.9589  ,19.8572  ,31.7215  ,2.61842e+01
6019  ,4.9589  ,19.8572  ,36.1426  ,2.61842e+01
7465  ,11.4339  ,20.6652  ,36.7873  ,2.61840e+01
7364  ,13.3589  ,19.8572  ,27.3005  ,2.61839e+01
710  ,15.4589  ,19.8572  ,39.4584  ,2.61839e+01
7321  ,13.3589  ,19.8572  ,40.5636  ,2.61839e+01
705  ,15.4589  ,19.8572  ,28.4057  ,2.61839e+01
6295  ,9.1589  ,19.8572  ,27.3005  ,2.61838e+01
6259  ,9.1589  ,19.8572  ,40.5636  ,2.61838e+01
867  ,7.0589  ,19.8572  ,28.4057  ,2.61838e+01
872  ,7.0589  ,19.8572  ,39.4584  ,2.61837e+01
7483  ,10.9708  ,20.7495  ,31.9  ,2.61833e+01
7480  ,11.6089  ,20.8572  ,33.5636  ,2.61824e+01
7472  ,11.6089  ,20.8572  ,34.6689  ,2.61824e+01
6268  ,9.07329  ,20.7053  ,35.6544  ,2.61818e+01
7232  ,16.5089  ,19.8572  ,29.511  ,2.61815e+01
7323  ,12.4839  ,20.6652  ,36.7873  ,2.61815e+01
6143  ,8.36456  ,20.6478  ,34.6214  ,2.61814e+01
7204  ,16.5089  ,19.8572  ,38.3531  ,2.61814e+01
6151  ,8.36456  ,20.6478  ,33.5161  ,2.61814e+01
6133  ,6.0089  ,19.8572  ,38.3531  ,2.61813e+01
6164  ,6.0089  ,19.8572  ,29.511  ,2.61813e+01
7329  ,12.6589  ,20.8572  ,34.6689  ,2.61799e+01
7336  ,12.6589  ,20.8572  ,33.5636  ,2.61799e+01
7464  ,10.1233  ,20.7053  ,36.7596  ,2.61791e+01
724  ,17.5589  ,19.8572  ,30.6162  ,2.61791e+01
727  ,17.5589  ,19.8572  ,37.2478  ,2.61791e+01
886  ,4.9589  ,19.8572  ,30.6163  ,2.61789e+01
889  ,4.9589  ,19.8572  ,37.2478  ,2.61789e+01
7492  ,10.9708  ,20.7495  ,30.7947  ,2.61780e+01
7481  ,10.185  ,20.8671  ,32.4406  ,2.61777e+01
7484  ,11.6267  ,20.9188  ,32.4288  ,2.61775e+01
6261  ,9.07329  ,20.7053  ,36.7596  ,2.61765e+01
7362  ,14.4089  ,19.8572  ,27.3005  ,2.61761e+01
7319  ,14.4089  ,19.8572  ,40.5636  ,2.61761e+01
6287  ,8.1089  ,19.8572  ,27.3005  ,2.61760e+01
6251  ,8.1089  ,19.8572  ,40.5636  ,2.61760e+01
6263  ,8.49164  ,20.4739  ,37.9566  ,2.61755e+01
6280  ,9.92078  ,20.7495  ,30.7947  ,2.61754e+01
6273  ,9.13496  ,20.8671  ,32.4406  ,2.61751e+01
7338  ,12.6767  ,20.9188  ,32.4288  ,2.61750e+01
6146  ,8.02329  ,20.7053  ,35.6544  ,2.61740e+01
7331  ,13.9953  ,20.8518  ,34.665  ,2.61738e+01
7339  ,13.9953  ,20.8518  ,33.5597  ,2.61738e+01
668  ,11.2589  ,19.8572  ,26.1952  ,2.61736e+01
675  ,11.2589  ,19.8572  ,41.6689  ,2.61736e+01
7490  ,10.1066  ,20.6609  ,30.0129  ,2.61733e+01
7493  ,11.6267  ,20.9188  ,31.3236  ,2.61723e+01
7092  ,18.6089  ,19.8572  ,33.932  ,2.61718e+01
7093  ,18.6089  ,19.8572  ,32.8268  ,2.61718e+01
7085  ,18.6089  ,19.8572  ,35.0373  ,2.61718e+01
6025  ,3.9089  ,19.8572  ,32.8268  ,2.61717e+01
6017  ,3.9089  ,19.8572  ,35.0373  ,2.61717e+01
6018  ,3.9089  ,19.8572  ,33.932  ,2.61717e+01
7515  ,12.3089  ,19.8572  ,26.1952  ,2.61710e+01
7512  ,10.2089  ,19.8572  ,26.1952  ,2.61710e+01
7452  ,12.3089  ,19.8572  ,41.6689  ,2.61710e+01
7233  ,16.5089  ,19.8572  ,28.4057  ,2.61710e+01
7449  ,10.2089  ,19.8572  ,41.6689  ,2.61710e+01
7198  ,16.5089  ,19.8572  ,39.4584  ,2.61710e+01
6171  ,6.0089  ,19.8572  ,28.4057  ,2.61709e+01
6132  ,6.0089  ,19.8572  ,39.4584  ,2.61708e+01
6279  ,9.05663  ,20.6609  ,30.0129  ,2.61707e+01
7463  ,11.7624  ,20.6566  ,38.3593  ,2.61706e+01
