12:15, nedjelja, prosinac 01, 2024
Study name:Thermal 1
Units: Celsius
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,TEMP (Celsius)
456  ,13.8876  ,22.3085  ,29.6443  ,2.91848e+01
457  ,13.8876  ,22.3085  ,32.1149  ,2.91848e+01
4658  ,13.8876  ,22.3085  ,30.8796  ,2.91848e+01
4645  ,12.6523  ,22.3085  ,30.8796  ,2.91822e+01
4654  ,12.6523  ,22.3085  ,29.6443  ,2.91822e+01
4644  ,12.6523  ,22.3085  ,32.1149  ,2.91822e+01
4647  ,15.1229  ,22.3085  ,32.1149  ,2.91822e+01
4657  ,15.1229  ,22.3085  ,29.6443  ,2.91822e+01
4656  ,15.1229  ,22.3085  ,30.8796  ,2.91822e+01
4666  ,13.8876  ,22.3085  ,28.409  ,2.91800e+01
4648  ,13.8876  ,22.3085  ,33.3502  ,2.91800e+01
585  ,11.417  ,22.3085  ,32.1149  ,2.91797e+01
3813  ,11.417  ,22.3085  ,30.8796  ,2.91797e+01
584  ,11.417  ,22.3085  ,29.6443  ,2.91797e+01
473  ,16.3582  ,22.3085  ,32.1149  ,2.91797e+01
4531  ,16.3582  ,22.3085  ,30.8796  ,2.91797e+01
472  ,16.3582  ,22.3085  ,29.6443  ,2.91797e+01
4636  ,12.6523  ,22.3085  ,33.3502  ,2.91774e+01
4646  ,15.1229  ,22.3085  ,33.3502  ,2.91774e+01
4655  ,12.6523  ,22.3085  ,28.409  ,2.91774e+01
4664  ,15.1229  ,22.3085  ,28.409  ,2.91774e+01
458  ,13.8876  ,22.3085  ,34.5854  ,2.91751e+01
455  ,13.8876  ,22.3085  ,27.1737  ,2.91751e+01
4538  ,16.3582  ,22.3085  ,28.409  ,2.91748e+01
3804  ,11.417  ,22.3085  ,33.3502  ,2.91748e+01
3819  ,11.417  ,22.3085  ,28.409  ,2.91748e+01
4524  ,16.3582  ,22.3085  ,33.3502  ,2.91748e+01
4638  ,15.1229  ,22.3085  ,34.5854  ,2.91725e+01
4635  ,12.6523  ,22.3085  ,34.5854  ,2.91725e+01
4662  ,12.6523  ,22.3085  ,27.1737  ,2.91725e+01
4665  ,15.1229  ,22.3085  ,27.1737  ,2.91725e+01
3803  ,10.1817  ,22.3085  ,30.8796  ,2.91720e+01
3802  ,10.1817  ,22.3085  ,32.1149  ,2.91720e+01
3811  ,10.1817  ,22.3085  ,29.6443  ,2.91720e+01
4529  ,17.5935  ,22.3085  ,30.8796  ,2.91719e+01
4523  ,17.5935  ,22.3085  ,32.1149  ,2.91719e+01
4530  ,17.5935  ,22.3085  ,29.6443  ,2.91719e+01
583  ,11.417  ,22.3085  ,27.1737  ,2.91699e+01
586  ,11.417  ,22.3085  ,34.5854  ,2.91699e+01
471  ,16.3582  ,22.3085  ,27.1737  ,2.91699e+01
474  ,16.3582  ,22.3085  ,34.5854  ,2.91699e+01
3812  ,10.1817  ,22.3085  ,28.409  ,2.91671e+01
3795  ,10.1817  ,22.3085  ,33.3502  ,2.91671e+01
4536  ,17.5935  ,22.3085  ,28.409  ,2.91671e+01
4522  ,17.5935  ,22.3085  ,33.3502  ,2.91670e+01
